Ref,Val,Package,PosX,PosY,Rot,Side
"S1","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",8.786876,-47.940045,168.000000,top
"S2","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",39.501576,-38.111245,168.000000,top
"S3","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",67.721376,-40.020145,168.000000,top
"S4","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",72.295476,-18.500945,168.000000,top
"S5","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",92.614576,-57.579445,168.000000,top
"S6","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",122.614576,-60.690345,180.000000,top
"S7","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",144.614576,-60.690345,180.000000,top
"S8","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",166.614576,-60.690345,180.000000,top
"S9","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",172.740276,-110.192945,-168.000000,top
"S10","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",177.522276,-132.690345,-168.000000,top
"S11","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",194.614576,-117.300345,-168.000000,top
"S12","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",189.832576,-94.802945,-168.000000,top
"S13","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",192.040516,-36.060225,-168.000000,top
"S14","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",196.614576,-57.579445,-168.000000,top
"S15","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",211.706906,-101.910335,-168.000000,top
"S16","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",216.933706,-18.500925,-168.000000,top
"S17","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",221.507766,-40.020175,-168.000000,top
"S18","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",245.153486,-16.591995,-168.000000,top
"S19","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",249.727546,-38.111235,-168.000000,top
"S20","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",275.868206,-26.420825,-168.000000,top
"S21","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",280.442266,-47.940075,-168.000000,top
"S22","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",94.614576,-117.300345,168.000000,top
"S23","Keyswitch","gateron-ks27-choc-v1-mx-hotswap",111.706876,-132.690345,168.000000,top
